code,marketref,dem,demCGV,demBMR,demreg,lp_bl,ls_bl,lh_bl,tropicar,distcr,distc,distr,ginv,polity,polity2,landlock,yellow,oilres,goldm,iron,silv,zinc,mortality,imputedmort,logem4,excolony,lt100km,democ1,democ00a,cons00a,currentinst,imr95,leb95,malfal,uvdamage,suitavg,pdiv,pdiv_aa,pdivhmi,pdivhmi_aa,pd1,pd1000,pd1500,pd1500,pop1,pop1000,pop1500,legor_uk,legor_fr,temp,elevavg,elevstd,kgatr,precip,suitgini,area,abslat,cenlong,area_ar,rough,ln_yst,ln_yst_aa,africa,europe,asia,oceania,americas,pprotest,pcatholic,pmuslim,pother,population_initial,population_now,gdp_pc_initial,gdp_pc_now,capital_growth_pct_gdp_initial,capital_growth_pct_gdp_now,gdp_initial,gdp_now,investment_rate,gdp_growth,pop_growth,lgdp_initial,lpop_initial
AFG,,0.0,0.0,0.0,0.0,4.1098223,0.5648045,1.0960875,0.0,942.351,942.467,2173.6,5.463794,-7.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,93.7,4.540098,,,1.0,1.0,1.0,,,,0.0592746,206.45377,0.16,0.7286669,0.7289718,0.72747195,0.7276834,3.0670612,3.450444,3.0670612,3.0670612,1999999.9,2250000.0,1999999.9,0.0,1.0,12.403885,1.8169798,1.079821,0.0,28.07191,0.58835,652090.0,33.0,66.0,79098.516,0.35812742,9.1049795,9.076809,0.0,0.0,1.0,0.0,0.0,0.0,0.0,99.3,0.7,11173654.0,38928341.0,,549.391787084908,5.4637940770463596,,,21386910830.2407,10.576140126941453,,0.02527746877256587,,16.229069243782238
AGO,,,,,0.03125,,,,1.0,481.495,509.511,593.664,,,,0.0,1.0,146000.0,0.0,0.0,0.0,0.0,280.0,280.0,5.634789,1.0,0.11875799999999999,0.0,0.0,1.0,172.0,125.0,46.49,1.0,269.24872,0.25,0.74826586,0.7477829,0.73973984,0.7395843,0.19119325,0.764773,1.529546,1.529546,238360.62,953442.5,1906885.0,0.0,1.0,21.66506,0.97141165,0.3881901,0.4941295,84.62355,0.37854,1246700.0,12.5,18.5,30045.47,0.08488976,7.130899,7.213024,1.0,0.0,0.0,0.0,0.0,19.8,68.7,0.0,11.5,5890360.0,32866268.0,,2890.89289718216,,22.7622595620963,,95012860718.0854,21.75745315599542,,0.034980508873998284,,15.588827674303278
ALB,9.090906,0.0,0.0,0.0,0.037037037,32.111988,32.864277,2.935904,0.0,77.5443,76.038,387.121,,-9.0,-9.0,,,,,,,,,,,,,,,,,,,0.0,125.279465,0.77,0.7405394,0.7405723,0.72627586,0.72628343,7.29927,7.29927,7.29927,7.29927,200000.0,200000.0,200000.0,0.0,0.0,11.657646,0.67119855,0.40881118,0.0,92.48657,0.13603,27400.0,41.0,20.0,5778.66,0.37626883,8.922658,8.9250555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.5,79.5,2135479.0,2837743.0,,5064.061915869529,,,,14370506253.3253,28.26113099712162,,0.005702558846072181,,14.57420153545272
ARE,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,1.0,,,,,26.0,,,0.0084119,235.94078,0.00286,0.73786384,0.73786384,,,,0.88393885,0.88393885,0.88393885,,73897.29,73897.29,1.0,0.0,27.368052,0.12929451,0.093942575,0.0,6.1325293,0.36443,83600.0,24.0,54.0,601.92004,0.07958952,8.922658,8.922658,0.0,0.0,1.0,0.0,0.0,0.3,0.4,94.9,4.4,234512.0,9890400.0,,,,,,,23.495646895697757,,0.07770767494063047,,12.365262038267081
ARG,34.144062,0.0,0.0,0.0,0.071428575,72.4,15.3,4.0,0.02708887,271.642,388.408,832.692,24.440096,-9.0,-9.0,0.0,0.0,46900.0,0.0,0.0,0.0,0.0,68.9,68.9,4.2326559999999995,1.0,0.123089,1.0,3.0,3.0,124.0,21.8,72.89,0.0,170.53558,0.4,0.5732512,0.7247375,0.56610674,0.710195,0.03654049,0.07308098,0.10303224,0.10303224,99999.99,199999.98,281967.3,0.0,1.0,13.966665,0.7152864,1.002649,4.57e-05,52.905045,0.50347,2736690.0,34.0,-64.0,278047.7,0.17800479,8.242756,8.892195,0.0,0.0,0.0,0.0,1.0,2.7,91.6,0.2,5.5,23880564.0,45376763.0,7084.180588529979,8692.70804630198,24.440095247505102,13.7765982499445,169174227931.948,394446952845.238,19.976605612415664,0.004100791460125652,0.012921474800725585,8.865619491029799,16.988575464300226
ARM,0.0,0.0,0.0,0.0,0.037037037,29.62099,54.43604,13.151984,0.0,420.939,420.939,832.382,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,32.0,,,0.0,136.73349,0.55,0.74327654,0.74327195,0.74628097,0.74625605,0.63829786,1.0638298,2.6595745,2.6595745,18000.0,30000.0,75000.0,0.0,0.0,8.37676,1.5510806,0.5115414,0.0,45.817894,0.28568,28200.0,40.0,45.0,4949.0996,0.47754443,8.987197,8.98907,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,2525067.0,2963234.0,,4364.312212012171,,17.2245621304291,,12932478333.2497,26.68503152557268,,0.003205399189402769,,14.741778154993025
ATG,,,,,0.8888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.5719,,0.6106138,,,,0.44332135,0.88664275,1.329964,1.329964,195.06139,390.1228,585.1842,1.0,0.0,26.608334,0.001,,,85.825,,440.0,17.05,-61.8,79.992004,0.0035,,,0.0,0.0,0.0,0.0,1.0,42.2,10.2,0.4,47.2,64184.0,97928.0,,12870.186811983798,,55.827644702833005,,1260351654.12395,28.89008822846124,,0.00848536950850387,,11.069509237433492
AUS,29.444778,1.0,1.0,1.0,0.95454544,29.3,48.3,21.5,0.38188735,354.887,354.777,5188.9,32.813263,10.0,10.0,0.0,1.0,99100.0,3.0,16.0,9.0,12.0,8.55,8.55,2.145931,1.0,0.198958,10.0,10.0,7.0,10.0,5.6,78.25,0.0,223.12234,0.19,0.6440536,0.7254786,,,0.02603387,0.02603387,0.02603387,0.02603387,200000.0,200000.0,200000.0,1.0,0.0,21.334566,0.26331285,0.1865085,0.0793232,45.187477,0.60792,7682300.0,27.0,135.0,503190.66,0.05339489,5.9914646,8.678531,0.0,0.0,0.0,1.0,0.0,23.5,29.6,0.2,46.7,12507000.0,25687041.0,26120.6210729662,56307.280684865196,33.022170361727,22.2555426057122,326690607759.588,1446367427550.64,27.672347448159716,0.015480576971374838,0.014498054631772561,10.170480360786328,16.341799045531044
AUT,38.210518,1.0,1.0,1.0,0.95454544,57.263283,35.8,2.6,0.0,79.4891,263.147,81.3668,29.408796,10.0,10.0,1.0,0.0,11900.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,29.0,,,0.0,87.9964,0.41,0.73671675,0.73689777,0.7253152,0.7256983,6.0642815,8.489994,24.257126,24.257126,500000.0,700000.0,2000000.0,0.0,0.0,6.8472776,0.8308811,0.4849222,0.0,82.06184,0.42311,82450.0,47.333332,13.333333,13991.765,0.2630111,8.779557,8.79141,0.0,1.0,0.0,0.0,0.0,6.5,88.8,0.6,4.1,7467086.0,8917205.0,19573.8671624626,47008.710432967804,31.038140764506302,25.1933056583608,146159749454.684,419186307716.41205,25.954993222582132,0.01767717494573784,0.0035558616760935635,9.881950647534955,15.82601538729449
AZE,0.0,0.0,0.0,0.0,0.037037037,,,,0.0,696.768,696.794,1068.69,,,,1.0,0.0,177000.0,0.0,0.0,0.0,0.0,,,,,,,,,67.0,,,0.0,133.85303,0.61,0.7403298,0.74012524,0.74192095,0.74189734,0.63829786,1.0638298,2.6595745,2.6595745,52726.594,87877.66,219694.16,0.0,0.0,11.598748,0.822947,0.7368593,0.0,43.431736,0.19739,82605.0,40.5,47.5,17603.125,0.35926768,8.987197,8.975251,0.0,0.0,1.0,0.0,0.0,0.0,0.0,93.4,6.6,5180032.0,10110116.0,,5593.22452252542,,24.283536880006398,,56548148736.7766,25.390139494627096,,0.013464344225623037,,15.460321791822762
